label	text	processed_text
Positive	ممتاز نوعا ما . النظافة والموقع والتجهيز والشاطيء. المطعم
Positive	أحد أسباب نجاح الإمارات أن كل شخص في هذه الدولة يعشق ترابها. نحن نحب الإمارات. ومضات من فكر. نصائح لدولة تطمح بالصفوف الأولى و قائد لا يقبل إلا براحة شعبه وتوفر كل سب العيش الكريم. حكم و مواقف ونصائح لكل فرد فينا ليس بمجرد كتاب سياسي كما كنت اعتقد. يستحق القراءة مرات كثيرة
Positive	هادفة .. وقوية. تنقلك من صخب شوارع القاهرة الى هدوء جبال الشيشان .. للتعرف على حقيقة ما يجرى فى تلك البلاد من حروب ضاربة بحق المسلمين و جزء كبير من تاريخ تلك المنطقة. التضحية .. الرجولة .. الوفاء والكثير من القيم الأخرى اثبتت وجودها فى تلك الرواية البسيطة
Positive	خلصنا .. مبدئيا اللي مستني ابهار زي الفيل الازرق ميقراش احسن.. احمد مراد تخطى مرحلة ان القارئ يخلص الرواية وهو فاتح بؤه لمرحلة ان القارئ يخلص الرواية وهو محترم الكاتب.. اتقان مخيف.. بصرف النظر عن اخطاء لا تذكر ف الحوار.. انما احمد مراد سافر عاش حبة ف اوائل القرن العشرين وجه ياخدنا لهناك.. خلطة مشاعر انسانية حقيقية لدرجة غريبة.. دراما نقلته من كاتب شاب بيستعرض لصنايعي حقيقي تثق فيما سيكتب بعد كده.. ربط بين مصر الآن ومصر من سنة هيطمنك ان عجينة الناس دي متغيرتش و زي ما عدت قبل كده هتعدي اي ازمة دلوقتي.. احمد مراد.. كاتب محترف شغال بضميييررر بكل ما تحمل الكلمة من معنى..
Positive	ياسات جلوريا جزء لا يتجزأ من دبي . فندق متكامل الخدمات مريح نفسيا. لا يوجد
Positive	أسلوب الكاتب رائع جدا و عميق جدا، قرأته عدة مرات منذ كنت في طالبا في المرحلة الابتدائية
Positive	استثنائي. الهدوء في الجناح مع مسبح. عدم وجود عازل جيد بين الغرف العاديه
Positive	الكتاب هو السيرة الذاتية للحداثة في المملكة بلسان أبرز معاصريها، هو كذلك تحليل اجتماعي لفكر المجتمع السعودي المحافظ وقبوله للجديد .. استمتعت بالحكاية وأحببت الغذامي كثيرا
Positive	من أجمل ما قرأت.. رواية تستحق القراءة فعلا..
Positive	بشكل عام جيده .. . التجاوب جيد جدا من قبل موظفي الاستقبال وخدمة التوصيل للحرم. وجبة الغذاء بالمطعم عادية ولا يوجد خيارات للطعام
Positive	انا بمووووووووووووووت ف حاجة اسمها أدهم صبري. العدد ده ظريف جدااااا و مضحك لأقصى حد وممتع اوى
Positive	كالعادة يدهشني د. منذر بأسلوب كتابته .. تسلسل الأحداث ، الحبكة ، المؤامرة ، دمج الواقع بالتاريخ ، الخيال ، بناء الشخصيات ، كلها بلا استثناء أعطاها حقها بلا تفريط ... لم أندم ابدا اني أجلت قراءتها حتى تكتمل لأقراها دفعة واحدة ف فرسان وكهنة تحيطها الألغاز والغموض ، علامة استفهام كبيرة وانت تقرؤها ، اسئلة كثيرة بلا اجوبة .. اعتقدت اني بدات افهم القصة من قطز او ان خيوط الحبكة بدات تتصل لتوضح الصورة الى ان وصلت الى اخرها لاجد ان الخطوط كثرت وزاد تعقيدها مما يزيدك اثارة لقراءة قرين ... شيء آخر ، كثير من الدروس والحكم مزروعة بين سطور الرواية ،تجعلك تتفتكر اكثر في نفسك ، في العوالم من حولك ، في افكارك واعتقاداتك ، تجعلك تحتار من كثرة الاسئلة التي تدور في عقلك ..
Positive	كتاب حاله فضائيه : . الجنون بعينه. كتاب تنويري اكتر من كونه سيره. جرعه الجنون فيه لايمكن استيعابها مره واحده. افضل كتاب قراته. الكتاب مليان حاجات تخلي الواحد يفكر فيها عمر بحاله. امتعني جدا جدا من اول صفحه لاخر صفحه محستش باي ملل في اي جزء منه علي عكس كتب تانيه كتير يتيقي فيها حشو لا داعي به. كتاب للتأمل..للتفكير...للجنون : . من لم يغيرني بعمق لم يحيرني بصدق
Positive	استثنائي. . الواي فاي ليس مجانا
Positive	الكتاب من أول صفحة فرق معايا..
Positive	وهذا ما سيحدث معنا
Positive	استثنائي. هدواء المكان وتميز الخدمات. يحتاج البوفيه الأفطار الصباحي المزيد من الأصناف
